COLL_DATE,MODEL,YIL,KM,RENK,FIYAT,ILAN_TARIHI,IL_ILCE,ID,YAKIT,VITES,MARKA
7/17/2020,A3 Sedan 1.6 TDI,2014,130000,Kýrmýzý,197500,"14 Temmuz

2020",Ýstanbul,841271108,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2018,47000,Lacivert,261000,"14 Temmuz

2020",Ýstanbul,790451679,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,73000,Füme,213000,"14 Temmuz

2020",Ýstanbul,841281861,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,185000,Beyaz,176500,"14 Temmuz

2020",Van,841279706,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,82000,Lacivert,231000,"16 Temmuz

2020",Ýstanbul,832595920,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,135000,Beyaz,258000,"14 Temmuz

2020",Van,831860600,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,146000,Beyaz,215000,"14 Temmuz

2020",Ýstanbul,841271374,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,97,Kýrmýzý,258000,"14 Temmuz

2020",Bursa,841271915,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,50300,Lacivert,198000,"14 Temmuz

2020",Ýstanbul,841268616,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,98000,Füme,280000,"16 Temmuz

2020",Ýzmir,841829600,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,131000,Beyaz,205000,"14 Temmuz

2020",Ýstanbul,841257973,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,99600,Gri,219900,"14 Temmuz

2020",Kocaeli,837786549,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,140000,Siyah,199000,"14 Temmuz

2020",Ýstanbul,841204816,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,40500,Beyaz,275000,"16 Temmuz

2020",Ýzmir,841821872,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,69000,Beyaz,239900,"14 Temmuz

2020",Ýzmir,744862683,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,140000,Beyaz,215000,"14 Temmuz

2020",Denizli,841244532,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,79000,Beyaz,229900,"16 Temmuz

2020",Ýzmir,841818183,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,90500,Beyaz,198000,"16 Temmuz

2020",Ýstanbul,841815234,dizel,otomatik,audi-a3-a3-sedan
